source_db	pathway_id	pathway_name	source	target	edge_id
kegg	mmu:04020	Calcium signaling pathway	GM2036	ATP2A1	ATP2A1||GM2036
kegg	mmu:04020	Calcium signaling pathway	GM2036	ATP2A2	ATP2A2||GM2036
kegg	mmu:04020	Calcium signaling pathway	GM2036	ATP2A3	ATP2A3||GM2036
kegg	mmu:04020	Calcium signaling pathway	PHKB	CALM1	CALM1||PHKB
kegg	mmu:04020	Calcium signaling pathway	PHKB	CALM2	CALM2||PHKB
kegg	mmu:04020	Calcium signaling pathway	PHKB	CALM3	CALM3||PHKB
kegg	mmu:04020	Calcium signaling pathway	PHKB	CALM5	CALM5||PHKB
kegg	mmu:04020	Calcium signaling pathway	PHKB	CALML3	CALML3||PHKB
kegg	mmu:04020	Calcium signaling pathway	PHKB	CALML4	CALML4||PHKB
kegg	mmu:04020	Calcium signaling pathway	PHKB	CALM4	CALM4||PHKB
kegg	mmu:04020	Calcium signaling pathway	PPIF	SLC25A4	PPIF||SLC25A4
kegg	mmu:04020	Calcium signaling pathway	PPIF	SLC25A5	PPIF||SLC25A5
kegg	mmu:04020	Calcium signaling pathway	PPIF	VDAC1	PPIF||VDAC1
kegg	mmu:04020	Calcium signaling pathway	PPIF	VDAC2	PPIF||VDAC2
kegg	mmu:04020	Calcium signaling pathway	PPIF	VDAC3	PPIF||VDAC3
kegg	mmu:04020	Calcium signaling pathway	PPIF	SLC25A31	PPIF||SLC25A31
kegg	mmu:04020	Calcium signaling pathway	CAMK2D	CALM1	CALM1||CAMK2D
kegg	mmu:04020	Calcium signaling pathway	CAMK2D	CALM2	CALM2||CAMK2D
kegg	mmu:04020	Calcium signaling pathway	CAMK2D	CALM3	CALM3||CAMK2D
kegg	mmu:04020	Calcium signaling pathway	CAMK2D	CALM5	CALM5||CAMK2D
kegg	mmu:04020	Calcium signaling pathway	CAMK2D	CALML3	CALML3||CAMK2D
kegg	mmu:04020	Calcium signaling pathway	CAMK2D	CALML4	CALML4||CAMK2D
kegg	mmu:04020	Calcium signaling pathway	CAMK2D	CALM4	CALM4||CAMK2D
kegg	mmu:04020	Calcium signaling pathway	GRM5	GNA11	GNA11||GRM5
kegg	mmu:04020	Calcium signaling pathway	GRM5	GNA14	GNA14||GRM5
kegg	mmu:04020	Calcium signaling pathway	GRM5	GNA15	GNA15||GRM5
kegg	mmu:04020	Calcium signaling pathway	GRM5	GNAQ	GNAQ||GRM5
kegg	mmu:04020	Calcium signaling pathway	PHKA2	CALM1	CALM1||PHKA2
kegg	mmu:04020	Calcium signaling pathway	PHKA2	CALM2	CALM2||PHKA2
kegg	mmu:04020	Calcium signaling pathway	PHKA2	CALM3	CALM3||PHKA2
kegg	mmu:04020	Calcium signaling pathway	PHKA2	CALM5	CALM5||PHKA2
kegg	mmu:04020	Calcium signaling pathway	PHKA2	CALML3	CALML3||PHKA2
kegg	mmu:04020	Calcium signaling pathway	PHKA2	CALML4	CALML4||PHKA2
kegg	mmu:04020	Calcium signaling pathway	PHKA2	CALM4	CALM4||PHKA2
kegg	mmu:04020	Calcium signaling pathway	ADORA2A	GNAL	ADORA2A||GNAL
kegg	mmu:04020	Calcium signaling pathway	ADORA2A	GNAS	ADORA2A||GNAS
kegg	mmu:04020	Calcium signaling pathway	ADORA2B	GNAL	ADORA2B||GNAL
kegg	mmu:04020	Calcium signaling pathway	ADORA2B	GNAS	ADORA2B||GNAS
kegg	mmu:04020	Calcium signaling pathway	ADRA1B	GNA11	ADRA1B||GNA11
kegg	mmu:04020	Calcium signaling pathway	ADRA1B	GNA14	ADRA1B||GNA14
kegg	mmu:04020	Calcium signaling pathway	ADRA1B	GNA15	ADRA1B||GNA15
kegg	mmu:04020	Calcium signaling pathway	ADRA1B	GNAQ	ADRA1B||GNAQ
kegg	mmu:04020	Calcium signaling pathway	ADRA1A	GNA11	ADRA1A||GNA11
kegg	mmu:04020	Calcium signaling pathway	ADRA1A	GNA14	ADRA1A||GNA14
kegg	mmu:04020	Calcium signaling pathway	ADRA1A	GNA15	ADRA1A||GNA15
kegg	mmu:04020	Calcium signaling pathway	ADRA1A	GNAQ	ADRA1A||GNAQ
kegg	mmu:04020	Calcium signaling pathway	ADRA1D	GNA11	ADRA1D||GNA11
kegg	mmu:04020	Calcium signaling pathway	ADRA1D	GNA14	ADRA1D||GNA14
kegg	mmu:04020	Calcium signaling pathway	ADRA1D	GNA15	ADRA1D||GNA15
kegg	mmu:04020	Calcium signaling pathway	ADRA1D	GNAQ	ADRA1D||GNAQ
kegg	mmu:04020	Calcium signaling pathway	ADRB1	GNAL	ADRB1||GNAL
kegg	mmu:04020	Calcium signaling pathway	ADRB1	GNAS	ADRB1||GNAS
kegg	mmu:04020	Calcium signaling pathway	ADRB2	GNAL	ADRB2||GNAL
kegg	mmu:04020	Calcium signaling pathway	ADRB2	GNAS	ADRB2||GNAS
kegg	mmu:04020	Calcium signaling pathway	ADRB3	GNAL	ADRB3||GNAL
kegg	mmu:04020	Calcium signaling pathway	ADRB3	GNAS	ADRB3||GNAS
kegg	mmu:04020	Calcium signaling pathway	AGTR1A	GNA11	AGTR1A||GNA11
kegg	mmu:04020	Calcium signaling pathway	AGTR1A	GNA14	AGTR1A||GNA14
kegg	mmu:04020	Calcium signaling pathway	AGTR1A	GNA15	AGTR1A||GNA15
