pair_id,AF3-SHAP12,ESM-2,ESM-3,ESM-C,AF3-SHAP12+ESM-2,AF3-SHAP12+ESM-3,AF3-SHAP12+ESM-C
pos_p62880_q80sz7,0.99962914,0.024847731,0.01207582,0.51279485,0.9642496,0.9118646,0.99994504
pos_p62880_p61953,0.9996865,0.030557863,8.8562345e-4,0.16387466,0.99761873,0.91017026,0.9998301
pos_p97494_o09172,0.9991775,0.22262174,0.019530572,0.06525014,0.99884975,0.77928513,0.9945754
pos_q8vbw6_q8c878,0.99955326,0.62137645,0.84870774,0.39564148,0.99903274,0.9776919,0.9979912
pos_q8ve11_q9z2d0,0.9992373,0.95546347,0.8425476,0.7142598,0.9990927,0.9341864,0.99854314
pos_p24288_o35855,0.9993699,0.75824195,0.77830285,0.4389067,0.9994442,0.9842293,0.9991208
pos_q8k1d8_o35904,5.039289e-4,0.65330803,0.052846212,0.33196005,0.048688885,0.44305113,0.04138258
pos_p47811_p49138,0.99904627,0.95789635,0.98644614,0.98078537,0.9992919,0.9959264,0.99997485
pos_p30285_p55271,0.9996107,0.034156658,0.47812295,0.48071647,0.99825114,0.95146376,0.9995772
pos_p63248_p05132,0.13774723,0.36478052,0.014978572,0.03547415,0.8998318,0.924125,0.99862826
pos_q9d6r2_q91va7,0.99904794,0.8159935,0.7630393,0.4959959,0.99956924,0.9183803,0.99923635
pos_o88876_q8vch7,0.99835205,0.25138628,0.16079764,0.54989713,0.99933225,0.82726765,0.99905413
pos_q9jk23_q9est4,0.99911386,0.14407732,0.73814714,0.59992206,0.90144855,0.8291313,0.99844474
pos_q9cq54_q00519,0.026991388,0.0014612873,3.2662752e-4,0.032258548,0.0032289773,0.12943637,0.02647767
pos_q9cwf6_q8k2g4,0.99814355,0.8663982,0.87585425,0.9122856,0.9994542,0.9688137,0.9977984
pos_q9d6r2_p70404,0.99887174,0.7829766,0.6079714,0.6093869,0.99948287,0.89673924,0.99942064
pos_p10639_a0a0m3heq0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
pos_p60324_q00519,0.0059548216,0.022205727,0.10073744,0.027923811,0.00965023,0.20204642,0.012151337
pos_o08529_o88456,0.9998661,0.4797773,0.3520297,0.22601172,0.9993173,0.9870956,0.9817406
pos_q9wu84_p08228,0.99941254,0.7982996,0.07994883,0.59457994,0.99797755,0.9418261,0.9979411
pos_q9qy36_q80um3,0.98107946,0.07010995,0.023939062,0.21142225,0.9951651,0.9656416,0.95189196
pos_q9z2c5_q80ta6,0.9980459,0.9401847,0.66776913,0.57109165,0.99973243,0.9020554,0.9982907
pos_q9cr41_q80um3,0.3193506,0.047922052,0.010953986,0.049296487,0.7504336,0.85580826,0.8126641
pos_q9dcw4_q921g7,0.98905516,0.1689016,0.14949462,0.6271376,0.98816866,0.73781914,0.9701967
pos_p61014_p05132,0.0049302685,0.13831134,0.031928185,0.17733088,0.19269961,0.42095435,0.22835673
pos_p30882_o35904,0.044531148,0.07336156,0.8056246,0.331552,0.05620482,0.8369945,0.17625646
pos_o35409_d3z249,0.0137930745,0.02570395,0.07696807,0.036825635,0.005244152,0.2055148,0.0012428139
pos_p40224_p28843,0.011054797,0.21699706,0.0700964,0.30564794,0.33629003,0.52360904,0.19760068
pos_p28843_p40753,0.041699782,0.35116553,0.009465413,0.060513746,0.010989145,0.11951464,0.0015546365
pos_p03930_q9wua3,0.0019438927,0.036912084,0.019132353,0.16828848,0.010769018,0.18227889,0.02598229
pos_q9cqy1_q99j83,0.96831393,0.30026355,0.40986222,0.37006864,0.99737513,0.9340335,0.99471587
pos_p30280_p30285,0.9976835,0.603141,0.7715798,0.8087917,0.994358,0.9579262,0.9998685
pos_q62192_o88188,0.9987451,0.93143916,0.57080853,0.36811233,0.9964024,0.85561496,0.99717915
pos_q05922_p47811,0.9859308,0.9558372,0.43626752,0.9712682,0.9980708,0.95333976,0.9990189
pos_q61391_q61839,0.049002167,0.0028716307,0.0022103398,0.20355116,0.002632842,0.07889206,0.014466856
pos_p28563_p47811,0.9939932,0.59766746,0.20098871,0.7719729,0.99641234,0.9713085,0.9995468
pos_p30285_p51480,0.9981645,0.4399076,0.56607425,0.7135421,0.99877185,0.9467333,0.99944025
pos_q64261_p51480,0.99879116,0.4895099,0.4969441,0.51883733,0.99569535,0.9626701,0.9963815
pos_q9r0t8_q9wun2,0.9956519,0.63398135,0.9247271,0.09611823,0.99702424,0.9713868,0.862034
pos_p28843_p48756,0.028517667,0.07053341,0.007956622,0.0507544,0.0022021648,0.080687776,5.6891524e-5
pos_p28474_p61014,0.029787367,0.0052526686,0.0053704684,0.001606726,4.553736e-4,0.04724892,2.5617568e-5
pos_p56394_p00397,0.014901912,4.980965e-4,0.023853173,0.05813161,4.4111308e-4,0.14176404,0.033089243
pos_p63328_q63810,0.9998392,0.11767753,0.087856166,0.6667904,0.99988735,0.977571,0.994985
pos_q06138_q3uuj4,0.99489695,0.050259665,0.18122607,0.11897452,0.9855509,0.96529627,0.9988105
pos_q91za3_q99mn9,0.9979594,0.9290686,0.82715195,0.6538902,0.99671054,0.9487507,0.99671495
pos_p43432_q9eq14,0.99747676,0.9134744,0.1902423,0.5594824,0.9976439,0.8431321,0.9986638
pos_q60860_a2rst1,0.99436355,0.53906107,0.777516,0.4069304,0.9818787,0.77174675,0.99138343
pos_p39655_q3tbl6,0.39554352,0.031502157,0.07530379,0.090635754,0.012329706,0.07083302,0.0035853994
pos_p28843_p05017,0.08966096,0.040752403,8.301336e-4,0.03932846,0.02961769,0.09443313,0.020542756
pos_p62331_p97813,0.14373146,0.9353622,0.048893277,0.9160878,0.861967,0.40476784,0.8037581
pos_p03930_p06802,0.003551321,0.17962259,0.0112655265,0.42707938,0.067651026,0.18571402,0.15969159
pos_p07901_p11499,0.9976654,0.41575933,0.93172705,0.8682208,0.9970092,0.9534582,0.9985806
pos_q9epc2_o35082,0.8596734,0.1637451,0.024347577,0.5745581,0.9967127,0.89853215,0.9943303
pos_q9esg4_q9d687,0.8924954,0.028289435,0.057551626,0.44930696,0.98830974,0.55710244,0.9977348
pos_p70170_q61743,0.9974017,0.78361136,0.5132308,0.47804725,0.99516004,0.8411977,0.996507
pos_q5ssw2_p46938,0.015748007,0.004483987,0.02018181,0.09370339,0.002483909,0.15476003,0.0014435325
pos_p17742_o35904,0.62239873,0.6820585,0.28171048,0.40459487,0.63063467,0.61513424,0.14160104
pos_p61014_p63087,0.009158019,0.8614775,0.008502378,0.024700614,0.08854858,0.060880896,0.003487152
pos_o08529_p61957,0.03912948,0.22559045,0.21130157,0.1447318,0.06133223,0.6508769,0.0014962521
pos_p09535_p28660,0.0051075295,0.007905923,0.016116085,0.019266447,2.3821033e-4,0.014152846,3.4141887e-4
pos_q9jjf0_q8r5k4,0.0013608172,0.0049007037,0.13337903,0.03944862,6.2825246e-5,0.10881957,0.018546112
pos_q9qy05_p42337,0.013022041,0.09239532,0.22872819,0.061286937,0.08335533,0.37457463,0.10447179
pos_q8bt35_o08601,1.6649645e-6,0.03378805,0.017968278,0.057651576,3.1629366e-5,0.046095338,5.5708166e-5
pos_p32883_q60790,0.9355091,0.9128865,0.1358741,0.69856423,0.998618,0.98961186,0.9938685
