"from","to"
"Rhog","Atg16l1"
"Atg16l1","Gnb2"
"Smad2","Smurf2"
"Rras2","Smurf2"
"Smurf2","Rac1"
"Smurf2","Fkbp4"
"Rras2","Actb"
"Rac1","Actb"
"Rras2","Myh9"
"Actb","Myh9"
"Smad2","Pknox1"
"Actb","Pknox1"
"Myh9","Pknox1"
"Rras2","Bin1"
"Ppp3cc","Bin1"
"Map3k7","Bin1"
"Abl1","Bin1"
"Gnb2","Myh10"
"Actb","Myh10"
"Myh9","Myh10"
"Atg16l1","Hdac2"
"Atg16l1","Hdac1"
"Hdac2","Hdac1"
"Cdk4","Rb1"
"Hdac1","Rb1"
"Bin1","Bcar1"
"Actb","Eef1a1"
"Atg16l1","Dynll1"
"Hdac2","Dynll1"
"Smad2","Col1a1"
"Ctnnb1","Hdac6"
"Bin1","Hdac6"
"Bcar1","Ptpn12"
"Atg16l1","Rb1cc1"
"Rac1","Rb1cc1"
"Map3k5","Rb1cc1"
"Atg16l1","Msn"
"Myh9","Msn"
"Bin1","Msn"
"Myh10","Msn"
"Rdx","Msn"
"Map3k5","Mapk14"
"Actb","Dnm1"
"Bin1","Dnm1"
"Atg16l1","Ap2m1"
"Actb","Ap2m1"
"Myh9","Ap2m1"
"Myh10","Ap2m1"
"Actb","Cfl1"
"Myh9","Cfl1"
"Myh10","Cfl1"
"Bin1","Gab2"
"Atg16l1","Inpp5d"
"Abl1","Inpp5d"
"Bcar1","Inpp5d"
"Gab2","Inpp5d"
"Hdac2","Sin3a"
"Hdac1","Sin3a"
"Rb1","Sin3a"
"Cdk4","Ccnd1"
"Ctnnb1","Ccnd1"
"Hdac1","Ccnd1"
"Rb1","Ccnd1"
"Actb","Dapk3"
"Myh9","Dapk3"
"Bin1","Dapk3"
"Myh10","Dapk3"
"Pkd2","Herpud1"
"Gnb2","Snca"
"Actb","Snca"
"Ctnnb1","Snca"
"Bin1","Snca"
"Myh10","Snca"
"Dynll1","Snca"
"Ap2m1","Snca"
"Camk2a","Snca"
"Actb","Actr1a"
"Inpp5d","Actr1a"
"Snca","Actr1a"
"Atg16l1","Gnb1"
"Myh10","Gnb1"
"Snca","Gnb1"
"Atg16l1","Slc25a12"
"Snca","Slc25a12"
"Atg16l1","Slc25a13"
"Snca","Slc25a13"
"Slc25a12","Slc25a13"
"Atg16l1","Hspa9"
"Snca","Hspa9"
"Gnb2","Gnao1"
"Actb","Gnao1"
"Prdx5","Gnao1"
"Mapk1","Gnao1"
"Dnm1","Gnao1"
"Cfl1","Gnao1"
"Camk2a","Gnao1"
"Snca","Gnao1"
"Gnb1","Gnao1"
"Snca","Glul"
"Gnao1","Glul"
"Snca","Hk1"
"Gnao1","Hk1"
"Atg16l1","Phb2"
"Myh10","Phb2"
"Hdac1","Phb2"
"Eef1a1","Phb2"
"Snca","Phb2"
"Slc25a13","Phb2"
"Bin1","Ndufs4"
"Snca","Ndufs4"
"Snca","Ndufs2"
"Ndufs4","Ndufs2"
"Snca","Ndufb8"
"Snca","Ndufb7"
"Gnao1","Ndufb7"
"Ndufs4","Ndufb7"
"Ndufs2","Ndufb7"
"Snca","Ndufa10"
