"from","to"
"Cdk4","Ccnd2"
"Pln","Adh5"
"Cdk4","Ccnd1"
"Hsp90aa1","Cat"
"Sod1","Cat"
"Mapk14","Mmp2"
"Cox7b","Bckdha"
"Mapk14","Akt1"
"Pln","Akt1"
"Hsp90aa1","Akt1"
"Mapk14","Bax"
"Capn2","Bax"
"Akt1","Bax"
"Mapk14","Prkaa1"
"Bckdha","Prkaa1"
"Akt1","Prkaa1"
"Capn2","Atp2a2"
"Pln","Atp2a2"
"Mapk14","Ogt"
"Akt1","Ogt"
"Pln","Ryr2"
"Fkbp1a","Ryr2"
"Fkbp1a","Ryr1"
"Sod1","Gpx1"
"Idh3a","Isca2"
"Atp2a2","Isca2"
"Ryr2","Isca2"
"Mapk14","Hdac2"
"Prkaa1","Hdac2"
"Ogt","Hdac2"
"Mapk14","Tgfb1"
"Adh5","Tgfb1"
"Hsp90aa1","Tgfb1"
"Mmp2","Tgfb1"
"Itgb2","Tgfb1"
"Akt1","Tgfb1"
"Prkaa1","Tgfb1"
"Bax","Lgals3bp"
"Ctnnb1","Lgals3bp"
"Tgfb1","Lgals3bp"
"Bax","Bak1"
"Sod1","Sod2"
"Rapgef4","Rap1a"
"Akt1","Gna12"
"Dnajb4","Hspa14"
"Bax","Hspa14"
"Apaf1","Hspa14"
"Hdac2","Hspa14"
"Isca2","Pdha1"
"Hsp90aa1","Prkg1"
"Ogt","Prkg1"
"Tgfb1","Fap"
"Mapk14","Stat3"
"Hsp90aa1","Stat3"
"Cdk5","Stat3"
"Mmp2","Stat3"
"Akt1","Stat3"
"Prkaa1","Stat3"
"Ptpn6","Stat3"
"Tgfb1","Stat3"
"Actr2","Stat3"
"Hspa14","Stat3"
"Ctnnb1","Ctcf"
"Prkaa1","Il10rb"
"Tgfb1","Il10rb"
"Hsp90aa1","Mapk1"
"Bckdha","Mapk1"
"Capn2","Hspa9"
"Sod1","Hspa9"
"Cat","Hspa9"
"Sod2","Hspa9"
"Pln","Camk2a"
"Atp2a2","Camk2a"
"Isca2","Camk2a"
"Hdac2","Camk2a"
"Rapgef4","Camk2a"
"Stat3","Camk2a"
"Camk2a","Cfl1"
"Mapk14","Cryab"
"Bax","Cryab"
"Stat3","Cryab"
"Pdha1","Dld"
