"symbol","prot_logfc","prot_padj","gex_logfc","gex_padj","int_pval"
"Mapk14",-0.136690353156293,0.0143151298554658,-0.272128578595116,2.42328960213643e-08,0.000204922942778848
"Cdk4",0.0705426531495341,0.110106248215134,0.133468148429281,0.000150637003346952,0.0121233858960127
"Idh3a",-0.209892581015424,0.000267602850226133,-0.326212013366075,1.16445872130904e-10,7.16112854491503e-08
"Ndufc2",-0.483354836228159,0.00145074935713823,-0.176864388432455,1.10309229325532e-05,2.10467369723699e-06
"Capn2",0.0275575077785817,0.443739665096313,0.142763843111026,1.72860386323161e-05,0.196904890379788
"Mtm1",-0.101215553915832,0.0412966236421209,-0.333822727055402,0.00407593466656295,0.00170541112423898
"Pln",-0.134908670858543,0.00903910750111772,-0.308991400272851,4.54091729144383e-09,8.17054644167626e-05
"Ccnd2",0.169426669022684,0.0904731162052555,0.938930910117758,0.00410332317658466,0.00818538475588967
"Adh5",-0.0837814177780203,0.0455619906006269,-0.104144938943933,2.04804482520848e-05,0.00207589498749161
"Arf6",0.128831520262359,0.00201115222805005,0.354074805879048,0.00263332423687673,6.93439653652241e-06
"Hsp90aa1",0.0948878344152924,0.0803570431213026,0.491703595445614,3.00459299862934e-05,0.00645725437919888
"Abcc9",-0.275363407343825,0.00113165166632768,-0.460670837295504,1.64302315009514e-07,1.28063549390221e-06
"Ppia",-0.204895559727344,0.0417269294225004,0.138546134369191,0.00183904647893331,0.00174113663903033
"Ccnd1",0.17094807104899,0.115013936031499,0.455889315647477,4.27737171077701e-11,0.0132282054814577
"Sod1",-0.12793311825061,0.212469428690477,-0.244371052734645,3.96522804667544e-11,0.0451432581280577
"Ndufs2",-0.401219813184483,0.00982434065040077,-0.236593767943581,5.56173143130046e-09,9.6517669215117e-05
"Dnajb4",0.172075881226668,0.0602566921004423,0.439696731202977,1.08210840223835e-05,0.00363086894288751
"Alox5",-0.306693077107163,0.000151881631883278,-0.569955676690122,6.2343483488268e-10,2.30680301035275e-08
"Cdk5",0.12982798351776,0.0663138785845232,-0.180216501703573,0.000148346518300912,0.00439753049292288
"Cat",-0.164940065046583,0.00481451291018358,-0.160766303458745,5.05010033164064e-07,2.31795345623244e-05
"Asah1",0.136475732208574,0.0717844250209278,0.23731205699545,0.00013388343191732,0.00515300367558521
"Mmp2",0.239175439109399,0.0319087918335593,0.748877562653918,2.97295069319196e-07,0.00101817099627742
"Prdx1",-0.130099928289376,0.0444885436278614,-0.101925948576718,0.000160723217658842,0.00197923051412813
"Ctsd",0.0962765465663225,0.128667558728418,0.106399028056305,0.00113265124173064,0.0165553406691309
