"from","to"
"Cav3","Itgb1"
"Cav3","Mvp"
"Cav3","Strn"
"Cav3","Calm3"
"Strn","Calm3"
"Jph1","Calm3"
"Cav3","Hsp90b1"
"Itgb1","Hsp90b1"
"Calm3","Hsp90b1"
"Cav3","Hsp90aa1"
"Itgb1","Hsp90aa1"
"Calm3","Hsp90aa1"
"Hsp90b1","Hsp90aa1"
"Cav3","Ctnnb1"
"Itgb1","Ctnnb1"
"Cav3","Cav1"
"Itgb1","Cav1"
"Strn","Cav1"
"Calm3","Cav1"
"Hsp90b1","Cav1"
"Hsp90aa1","Cav1"
"Ctnnb1","Cav1"
"Itgb1","Ccnd1"
"Itgb1","Hdac1"
"Ctnnb1","Hdac1"
"Ccnd1","Hdac1"
"Ctnnb1","Yap1"
"Ctnnb1","Rela"
"Hdac1","Rela"
"Itgb1","Sqstm1"
"Rela","Sqstm1"
"Itgb1","Iqgap1"
"Calm3","Iqgap1"
"Hsp90aa1","Iqgap1"
"Ctnnb1","Iqgap1"
"Hdac1","Nfkb1"
"Rela","Nfkb1"
"Mvp","Myd88"
"Irak4","Myd88"
"Nfkb1","Myd88"
"Itgb1","Thbs1"
"Hsp90aa1","Cfl2"
"Actr1a","Cfl2"
"Hdac1","Myh9"
"Iqgap1","Myh9"
"Itgb1","Actb"
"Hsp90aa1","Actb"
"Cav1","Actb"
"Hdac1","Actb"
"Iqgap1","Actb"
"Actr1a","Actb"
"Cfl2","Actb"
"Myh9","Actb"
"Nckap1","Actb"
"Hsp90b1","Ruvbl1"
"Hsp90aa1","Ruvbl1"
"Ctnnb1","Ruvbl1"
"Sqstm1","Ruvbl1"
"Myd88","Ruvbl1"
"Actr1a","Ruvbl1"
"Actb","Ruvbl1"
"Itgb1","Actn4"
"Ctnnb1","Actn4"
"Iqgap1","Actn4"
"Cfl2","Actn4"
"Actb","Actn4"
"Iqgap1","Cttn"
"Cfl2","Cttn"
"Actb","Cttn"
"Actr1a","Arpc4"
"Myh9","Arpc4"
"Nckap1","Arpc4"
"Actb","Arpc4"
"Cttn","Arpc4"
"Calm3","Cfl1"
"Hsp90aa1","Cfl1"
"Actr1a","Cfl1"
"Cfl2","Cfl1"
"Actb","Cfl1"
"Actn4","Cfl1"
"Cttn","Cfl1"
"Ctnnb1","Ctnna1"
"Yap1","Ctnna1"
"Iqgap1","Ctnna1"
"Actb","Ctnna1"
"Actn4","Ctnna1"
"Itgb1","Actn1"
"Ctnnb1","Actn1"
"Cfl2","Actn1"
"Actb","Actn1"
"Actn4","Actn1"
"Cfl1","Actn1"
"Ctnna1","Actn1"
"Actb","Tagln2"
"Itgb1","H2-K1"
"Itgb1","Wasl"
"Iqgap1","Wasl"
"Actr1a","Wasl"
"Cfl2","Wasl"
"Actb","Wasl"
"Cttn","Wasl"
"Arpc4","Wasl"
"Cfl1","Wasl"
"Hsp90aa1","Uchl1"
"Ctnnb1","Uchl1"
"Cfl1","Uchl1"
"Cav1","Gnaq"
"Calm3","Hras"
"Hsp90aa1","Hras"
"Ctnnb1","Hras"
"Cav1","Hras"
"Ccnd1","Hras"
"Iqgap1","Hras"
"Gnaq","Hras"
"Cav3","Bsg"
"Itgb1","Bsg"
"Cav1","Bsg"
"Hsp90aa1","Prkcd"
"Sqstm1","Prkcd"
"Cav3","Gnb1"
"Strn","Gnb1"
"Gnaq","Gnb1"
"Hras","Gnb1"
"Cav3","Rack1"
"Itgb1","Rack1"
"Hsp90aa1","Rack1"
"Ctnnb1","Rack1"
"Iqgap1","Rack1"
"Actb","Rack1"
"Ctnna1","Rack1"
"Prkcd","Rack1"
"Gnb1","Rack1"
"Calm3","Rdx"
"Hsp90b1","Rdx"
"Ctnnb1","Rdx"
"Myh9","Rdx"
"Actb","Rdx"
"Gnaq","S1pr5"
"Gnb1","S1pr5"
"Uchl1","Gnao1"
"Gnaq","Gnao1"
"Hras","Gnao1"
"Gnb1","Gnao1"
"Gnaq","Ric8a"
"Gnao1","Ric8a"
"Itgb1","Gnas"
"Calm3","Gnas"
"Cav1","Gnas"
"Gnaq","Gnas"
"Hras","Gnas"
"Bsg","Gnas"
"Gnb1","Gnas"
"S1pr5","Gnas"
"Gnao1","Gnas"
"Ctnnb1","Tjp2"
"Yap1","Tjp2"
"Cttn","Tjp2"
"Calm3","Ptk2b"
"Myd88","Ptk2b"
"Cttn","Ptk2b"
"Prkcd","Ptk2b"
"Strn","Gnb2"
"Gnaq","Gnb2"
"Hras","Gnb2"
"Gnb1","Gnb2"
"Gnao1","Gnb2"
"Gnas","Gnb2"
"Sdhc","Sdha"
"Sdha","Cyc1"
"Sdha","Fh1"
"Sdha","Idh3a"
"Cyc1","Idh3a"
"Fh1","Idh3a"
"Cav3","Pik3c3"
"Calm3","Pik3c3"
"Cav1","Pik3c3"
"Dbn1","Pik3c3"
"Hras","Pik3c3"
"Gab2","Pik3c3"
"Ccnd1","Rb1"
"Hdac1","Rb1"
"Yap1","Rb1"
"Calm3","Cdk4"
"Hsp90aa1","Cdk4"
"Ccnd1","Cdk4"
"Nfkb1","Cdk4"
"Uchl1","Cdk4"
"Rb1","Cdk4"
"Calm3","Cdk5"
"Ctnnb1","Cdk5"
"Ccnd1","Cdk5"
"Cdk4","Cdk5"
"Calm3","Cdkn1b"
"Ccnd1","Cdkn1b"
"Uchl1","Cdkn1b"
"Cdk4","Cdkn1b"
"Cdk5","Cdkn1b"
"Wasl","Pdgfrb"
"Hras","Pdgfrb"
"Cdk4","Pdgfrb"
"Thbs1","Pf4"
"Myd88","Fcgr2b"
"Ccnd1","Mcm3"
"Actb","G6pdx"
"Calm3","Ywhaz"
"Hsp90aa1","Ywhaz"
"Ctnnb1","Ywhaz"
"Yap1","Ywhaz"
"Cfl2","Ywhaz"
"Cfl1","Ywhaz"
"Prkcd","Ywhaz"
"Gab2","Ywhaz"
"Cdkn1b","Ywhaz"
"Iqgap1","Pcbp1"
"Actb","Pcbp1"
"Rack1","Pcbp1"
"Gnb2","Pcbp1"
"Itgb1","Snca"
"Calm3","Snca"
"Hsp90b1","Snca"
"Sqstm1","Snca"
"Uchl1","Snca"
"Itgb1","Camk2g"
"Calm3","Camk2g"
"Prkcd","Camk2g"
"Cav3","Nedd4"
"Sqstm1","Nedd4"
"Actb","Nedd4"
"Ptk2b","Nedd4"
"Itgb1","Itga9"
"Actb","Itga9"
"Actn4","Itga9"
"Actn1","Itga9"
"Ywhaz","Itga9"
"Cav3","Flnc"
"Itgb1","Flnc"
"Calm3","Flnc"
"Cav1","Flnc"
"Cfl2","Flnc"
"Cfl1","Flnc"
"Itga9","Flnc"
"Itgb1","Nup214"
"Itgb1","Itgav"
"Hdac1","Itgav"
"Actb","Itgav"
"Actn4","Itgav"
"Actn1","Itgav"
"Ptk2b","Itgav"
"Itga9","Itgav"
"Flnc","Itgav"
"Col5a2","Itgav"
"Ctnnb1","Pecam1"
"Gnaq","Pecam1"
"Itgav","Pecam1"
"Itgb1","Syk"
"Myd88","Syk"
"Prkcd","Syk"
"Gab2","Syk"
"Fcgr2b","Syk"
"Itgb1","Hspd1"
"Hsp90b1","Hspd1"
"Hsp90aa1","Hspd1"
"Hras","Hspd1"
"Sdha","Hspd1"
"Ywhaz","Hspd1"
"Itgb1","Dab2"
"Calm3","Dab2"
"Myh9","Dab2"
"Itgb1","Jam3"
"Nckap1","Jam3"
"Pecam1","Jam3"
"Gnaq","Cyth2"
"Rack1","Cyth2"
"Myh9","Svil"
"Actb","Svil"
"Actn4","Svil"
"Cttn","Svil"
"Actn1","Svil"
"Sqstm1","Bgn"
"Thbs1","Bgn"
"Pf4","Bgn"
"Col5a2","Bgn"
"Itgav","Bgn"
"Itgb1","Agrn"
"Cttn","Agrn"
"Bgn","Agrn"
"Pf4","Alb"
"Itgb1","Scarb2"
"Cav1","Scarb2"
"Thbs1","Scarb2"
"Itgav","Scarb2"
"Dab2","Scarb2"
"Alb","Scarb2"
"Itgb1","Itga5"
"Hdac1","Itga5"
"Actb","Itga5"
"Actn4","Itga5"
"Actn1","Itga5"
"Itga9","Itga5"
"Flnc","Itga5"
"Itgav","Itga5"
"Jam3","Itga5"
"Actb","Sod2"
"Uchl1","Gna12"
"Gnaq","Gna12"
"Hras","Gna12"
"Bsg","Gna12"
"Prkcd","Gna12"
"Gnb1","Gna12"
"Rack1","Gna12"
"Rdx","Gna12"
"S1pr5","Gna12"
"Gnao1","Gna12"
"Ric8a","Gna12"
"Gnas","Gna12"
"Tjp2","Gna12"
"Ptk2b","Gna12"
"Gnb2","Gna12"
"Itgb1","Ctnnd1"
"Ctnnb1","Ctnnd1"
"Cttn","Ctnnd1"
"Ctnna1","Ctnnd1"
"Tjp2","Ctnnd1"
"Ywhaz","Ctnnd1"
"Pecam1","Ctnnd1"
"Hdac1","Lmna"
"Rb1","Lmna"
"Pcbp1","Lmna"
"Cav3","Anxa1"
"Rela","Anxa1"
"Ywhaz","Anxa1"
"Ctnnb1","Clip1"
"Iqgap1","Clip1"
"Cttn","Clip1"
"Hras","Clip1"
"Cav3","Jup"
"Ctnnb1","Jup"
"Cav1","Jup"
"Myh9","Jup"
"Ctnna1","Jup"
"Pecam1","Jup"
"Ctnnd1","Jup"
"Calm3","Lnpep"
"H2-K1","Lnpep"
"Ywhaz","Lnpep"
"Cav3","Cdh5"
"Ctnnb1","Cdh5"
"Cav1","Cdh5"
"Iqgap1","Cdh5"
"Actb","Cdh5"
"Ctnna1","Cdh5"
"Ptk2b","Cdh5"
"Pecam1","Cdh5"
"Ctnnd1","Cdh5"
"Anxa1","Cdh5"
"Jup","Cdh5"
"Cyc1","Slc25a5"
"G6pdx","Slc25a5"
"Bax","Slc25a5"
"Hsp90aa1","Ppif"
"Hspd1","Ppif"
"Sod2","Ppif"
"Bax","Ppif"
"Slc25a5","Ppif"
"Cav3","Vdac1"
"Hsp90b1","Vdac1"
"Hsp90aa1","Vdac1"
"Cav1","Vdac1"
"Sqstm1","Vdac1"
"Actb","Vdac1"
"Snca","Vdac1"
"Sod2","Vdac1"
"Bax","Vdac1"
"Slc25a5","Vdac1"
"Ppif","Vdac1"
"Cyc1","Slc25a4"
"Idh3a","Slc25a4"
"Bax","Slc25a4"
"Slc25a5","Slc25a4"
"Ppif","Slc25a4"
"Vdac1","Slc25a4"
"Ywhaz","Hk1"
"Prkar1a","Hk1"
"Bax","Hk1"
"Slc25a5","Hk1"
"Ppif","Hk1"
"Vdac1","Hk1"
"Pf4","Ppbp"
"Calm3","Fabp4"
"Itgb1","Abl1"
"Hsp90aa1","Abl1"
"Ctnnb1","Abl1"
"Ntrk3","Abl1"
"Ctnna1","Abl1"
"Actn1","Abl1"
"Wasl","Abl1"
"Rack1","Abl1"
"Pik3c3","Abl1"
"Rb1","Abl1"
"Cdk4","Abl1"
"Cdk5","Abl1"
"Snca","Abl1"
"Nup214","Abl1"
"Syk","Abl1"
"Ctnnb1","Hdac2"
"Hdac1","Hdac2"
"Rela","Hdac2"
"Nfkb1","Hdac2"
"Rb1","Hdac2"
"Lmna","Hdac2"
"Cav3","Arf6"
"Cav1","Arf6"
"Iqgap1","Arf6"
"Actb","Arf6"
"Cyth2","Arf6"
"Anxa1","Arf6"
"Snca","Kcnj11"
"Calm3","Cnn3"
"Actb","Cnn3"
"Flnc","Cnn3"
"Thbs1","Lpin1"
"Hsp90b1","Hmox1"
"Cav1","Hmox1"
"Bax","Hmox1"
"Hsp90aa1","Stat3"
"Cav1","Stat3"
"Ccnd1","Stat3"
"Hdac1","Stat3"
"Yap1","Stat3"
"Rela","Stat3"
"Nfkb1","Stat3"
"Myd88","Stat3"
"Cttn","Stat3"
"Hras","Stat3"
"Prkcd","Stat3"
"Gnb1","Stat3"
"Gnas","Stat3"
"Ptk2b","Stat3"
"Gab2","Stat3"
"Pdgfrb","Stat3"
"Pcbp1","Stat3"
"Syk","Stat3"
"Ppif","Stat3"
"Hmox1","Stat3"
"Ctnnb1","Vim"
"Sqstm1","Vim"
"Iqgap1","Vim"
"Thbs1","Vim"
"Ywhaz","Vim"
