pair_id	chain_ptm_a	chain_ptm_b	min_pae_ab	ptm	iptm
pos_p26883_e9pzq0	0.75	0.7	1.94	0.71	0.96
pos_q9z2i2_e9q401	0.74	0.7	2.07	0.7	0.95
pos_q8vbw6_q8c878	0.92	0.81	0.85	0.9	0.94
pos_p37172_p26883	0.64	0.88	1.1	0.69	0.94
pos_q9dcj1_q9jln9	0.83	0.69	1.63	0.72	0.94
pos_q00519_q00519	0.96	0.96	1.02	0.94	0.93
pos_p49615_p61809	0.92	0.53	0.88	0.74	0.93
pos_p63001_q60610	0.84	0.35	1.24	0.42	0.92
pos_q8c0j2_q99j83	0.5	0.88	1.05	0.44	0.92
pos_q8r4h2_q9qui0	0.34	0.81	1.25	0.41	0.91
pos_q91xd2_q01730	0.33	0.9	1.08	0.62	0.91
pos_q91xd2_q01730	0.33	0.9	1.09	0.62	0.91
pos_p62880_q80sz7	0.93	0.62	0.88	0.92	0.91
pos_p08228_o09164	0.9	0.66	1.07	0.77	0.91
pos_q91uz4_p97481	0.88	0.41	1.2	0.36	0.91
pos_q91uz4_q61221	0.87	0.42	1.3	0.37	0.91
pos_p59764_p63001	0.63	0.82	1.68	0.63	0.91
pos_q8ve11_q9z2d0	0.84	0.92	1.09	0.89	0.91
pos_p97494_o09172	0.91	0.86	1.18	0.92	0.9
pos_q91z83_p51667	0.45	0.67	1.65	0.44	0.9
pos_q60875_q9qui0	0.46	0.83	1.28	0.54	0.9
pos_q8bxk9_a2ai08	0.88	0.18	0.92	0.39	0.9
pos_p62880_p61953	0.93	0.61	0.91	0.92	0.9
pos_p97433_q9qui0	0.34	0.8	1.58	0.4	0.9
pos_q03385_p62835	0.54	0.83	1.14	0.61	0.9
pos_b2ry04_p63001	0.62	0.82	1.74	0.63	0.9
pos_p55200_p61965	0.37	0.82	1.55	0.38	0.9
pos_p63328_q63810	0.78	0.8	0.98	0.8	0.89
pos_q05769_q05769	0.89	0.89	0.96	0.9	0.89
pos_p24288_o35855	0.9	0.88	0.88	0.89	0.89
pos_p30285_p55271	0.84	0.85	1.1	0.86	0.89
pos_q9d8z6_q91yi1	0.84	0.43	0.86	0.58	0.89
pos_q91x46_p62746	0.65	0.84	1.04	0.72	0.89
pos_q91x46_q9qui0	0.64	0.85	1.07	0.72	0.89
pos_p51943_p11440	0.65	0.89	1.02	0.76	0.89
pos_p26883_e9q401	0.74	0.7	3.36	0.7	0.89
pos_p54987_p54987	0.9	0.9	0.95	0.9	0.89
pos_q64096_p63001	0.42	0.83	1.52	0.45	0.88
pos_q64096_q9qui0	0.42	0.83	1.46	0.45	0.88
pos_q8c9s8_q9cqv6	0.81	0.83	1.11	0.83	0.88
pos_p47811_p49138	0.89	0.82	1.06	0.87	0.88
pos_p63248_p05132	0.34	0.92	0.98	0.86	0.88
pos_p63087_p17564	0.88	0.2	0.95	0.46	0.88
pos_q9cqy1_q99j83	0.57	0.91	1.17	0.82	0.88
pos_q8r1a4_p63001	0.67	0.81	2.41	0.64	0.88
pos_o08529_o88456	0.88	0.64	1.05	0.84	0.88
pos_p42337_p26450	0.92	0.42	1.12	0.76	0.88
pos_q920p3_b0lae7	0.53	0.02	2.07	0.53	0.87
pos_q9d6r2_q91va7	0.87	0.81	0.98	0.86	0.87
pos_q9wu84_p08228	0.8	0.86	1.37	0.84	0.87
pos_p60766_q8cj53	0.83	0.55	1.46	0.62	0.87
pos_p60766_q8k012	0.83	0.55	1.49	0.62	0.87
pos_p62331_p63034	0.82	0.52	1.14	0.63	0.87
pos_p07750_p16382	0.78	0.34	1.02	0.43	0.87
pos_p10639_q8bg60	0.86	0.63	1.36	0.68	0.87
pos_p24860_p11440	0.63	0.89	1.04	0.75	0.87
pos_p63001_p27870	0.83	0.49	1.82	0.57	0.87
pos_q05144_q9r0c8	0.83	0.55	1.89	0.62	0.87
pos_p16092_p15655	0.44	0.8	1.31	0.51	0.87
pos_p63001_q60992	0.84	0.54	1.71	0.61	0.86
pos_q9d6r2_p70404	0.87	0.8	1.01	0.85	0.86
pos_q9jk23_q9est4	0.81	0.85	0.99	0.86	0.86
pos_p15655_p21803	0.79	0.44	1.24	0.49	0.86
pos_q9qui0_p27870	0.82	0.47	1.84	0.55	0.86
pos_q9qy36_q80um3	0.67	0.85	0.99	0.84	0.86
pos_o88876_q8vch7	0.84	0.83	1.32	0.86	0.86
pos_p33896_p01575	0.55	0.82	1.15	0.64	0.86
pos_o35864_p29595	0.65	0.78	1.59	0.69	0.86
pos_p61148_p21803	0.79	0.45	1.52	0.5	0.86
pos_p15655_p16092	0.8	0.45	1.15	0.52	0.86
pos_q9cwf6_q8k2g4	0.79	0.86	1.28	0.85	0.86
pos_q8vcc8_q80zj1	0.57	0.8	1.52	0.63	0.86
pos_q02248_q9jjn6	0.69	0.6	1.08	0.71	0.85
pos_p17918_q921p9	0.91	0.24	1.22	0.68	0.85
pos_q69zk0_p63001	0.63	0.8	2.2	0.59	0.85
pos_p10126_o70251	0.83	0.5	1.23	0.77	0.85
pos_p62835_q9eqz6	0.81	0.61	2.16	0.65	0.85
pos_p61148_p16092	0.79	0.45	1.59	0.5	0.85
pos_p60766_p27870	0.81	0.49	1.89	0.57	0.85
pos_q9jln9_q921j2	0.77	0.76	2.99	0.76	0.85
pos_p32883_q60790	0.82	0.76	1.98	0.78	0.85
pos_q08024_q03347	0.76	0.33	0.83	0.49	0.84
pos_q6dfw0_q3umb5	0.8	0.52	1.24	0.66	0.84
pos_q06138_q3uuj4	0.88	0.71	1.4	0.8	0.84
pos_p35569_q91y86	0.28	0.83	1.35	0.34	0.84
pos_q8cii9_q9jie6	0.52	0.78	0.9	0.63	0.84
pos_q9qwv9_q99j95	0.41	0.83	1.03	0.58	0.84
pos_p28563_p47811	0.61	0.86	1.4	0.81	0.84
pos_p63001_q0kl02	0.81	0.39	4.72	0.41	0.84
pos_p84096_q0kl02	0.82	0.39	4.16	0.41	0.84
pos_q61457_p97377	0.7	0.83	1.06	0.78	0.84
pos_q9jhf9_q9quk6	0.75	0.7	1.25	0.73	0.84
pos_q9z2c5_q80ta6	0.87	0.81	1.26	0.84	0.84
pos_q9jjv9_p97952	0.69	0.61	1.6	0.7	0.84
pos_q91y86_p35569	0.84	0.28	1.57	0.34	0.84
pos_q91za3_q99mn9	0.75	0.85	2.04	0.8	0.83
pos_q9z0f4_q7tn58	0.76	0.7	1.94	0.72	0.83
pos_q9z0f4_q7tn60	0.77	0.67	1.95	0.7	0.83
pos_p41160_p48356	0.7	0.5	1.54	0.55	0.83
pos_q9z2d1_e9pxf8	0.81	0.58	1.23	0.67	0.83
pos_q9z2d1_q6zpe2	0.82	0.61	1.25	0.69	0.83
pos_o35625_q8bk63	0.27	0.83	1.71	0.41	0.83
pos_q99j95_q7tqk0	0.83	0.41	1.15	0.57	0.83
pos_p97377_p51943	0.82	0.64	1	0.74	0.82
pos_q91ym2_q9qui0	0.4	0.8	2.66	0.39	0.82
pos_p47811_q8cf89	0.86	0.7	1.52	0.56	0.82
pos_p30285_p51480	0.84	0.7	1.15	0.81	0.82
pos_q61221_q8blr9	0.42	0.88	1.93	0.4	0.82
pos_p09056_p42703	0.75	0.57	1.12	0.61	0.82
pos_p62331_p70181	0.83	0.61	2.01	0.67	0.82
pos_p07758_q3up87	0.81	0.81	1.04	0.77	0.81
pos_p43432_q9eq14	0.8	0.69	0.9	0.8	0.81
pos_q91ym2_p63001	0.41	0.81	3.03	0.4	0.81
pos_q61056_q9quq5	0.78	0.69	1.69	0.76	0.81
pos_q61056_q9qx29	0.79	0.7	1.78	0.77	0.81
pos_p20612_p15409	0.64	0.85	1.67	0.75	0.81
pos_q64261_p51480	0.82	0.71	1.01	0.81	0.81
