file,VDWAALS,ESURF,TOTAL
P31750-P26450,-115.1447,-19.1543,34.5992
Q8BUN5-P04202,-142.1255,-21.9888,45.5344
Q9Z2X8-Q60795,-162.3171,-28.1068,-83.3889
P31750-Q9WV60,-204.2434,-33.4473,0.3999
P29452-Q8R4B8,-117.9516,-27.5279,31.7235
P22366-Q9QUK6,-90.1054,-11.055,-28.196
P31750-P60324,-216.7431,-34.6075,-33.9222
P31750-Q9JLN9,-152.1097,-21.4033,8.248
Q62432-P04202,-45.595,-5.9424,18.3957
P40224-P70658,-252.8418,-39.3102,-161.3658
Q62120-P42227,-280.0174,-41.6612,-22.2962
Q9JLN9-Q5EG47,-105.5929,-16.659,17.6942
Q8R4B8-Q9EPB4,-95.0166,-14.2308,6.2641
O88522-Q9EST8,-173.8115,-28.4387,-79.676
Q07813-P10417,-47.5403,-7.1596,-20.4866
P04202-Q64729,-138.4411,-19.7807,66.3198
Q99MQ3-Q9WVS6,-206.5538,-34.9054,-59.2349
Q9Z0J4-P60324,-234.3374,-32.6531,-23.5078
P35918-Q00731,-183.4213,-32.0384,-29.3494
Q9EST8-Q3TBL6,-58.6043,-8.4301,-0.3401
P27512-P27548,-70.8396,-10.4459,-29.5736
Q8R0I0-P29754,-149.3494,-23.1621,-24.2542
Q9EST8-Q8R0S6,-255.5905,-37.581,-51.0468
P08505-P42227,-200.2848,-27.4755,-19.5265
Q9EST8-Q9QUK6,-351.9019,-51.1892,92.9989
P04202-Q62312,-178.5097,-28.8003,-35.698
P14901-Q60795,-61.6551,-11.6585,1.1794
P70340-P04202,-159.0469,-21.1614,-13.8617
P05017-Q60751,-211.622,-30.144,-89.1024
P31750-O08586,-117.1749,-22.956,17.4619
Q9Z1E3-Q9EST8,-287.6716,-45.1212,-27.6828
Q62432-P97471,-229.5123,-37.6911,-151.341
Q9D8F1-Q9BCZ4,0,0,0
Q9EPK5-P46938,-155.3931,-26.4029,-79.5357
Q5EG47-Q923E4,-238.0202,-36.4791,-62.0125
P0C605-Q9JHB2,-46.9612,-5.6257,9.395
O55143-P61014,-189.9848,-28.6603,-3.1529
Q5EG47-O70343,-481.8124,-78.8694,-192.2765
Q8BUN5-P97471,-187.4136,-29.2775,-122.9755
Q02248-P22725,-71.1539,-9.375,21.3645
P06804-P25118,-83.4498,-14.6451,-53.9357
P10749-Q8R4B8,-137.8856,-22.8184,-18.3335
O70343-Q923E4,-367.2946,-57.0635,-130.5963
O08538-Q02858,-171.4275,-23.3612,-54.7892
P31750-Q8BFP9,-67.0825,-8.9737,3.2849
P04202-O88393,-191.3585,-27.1806,23.1665
Q02248-Q9WV60,-76.2083,-11.0417,-23.6611
Q9QY05-Q9Z0Y7,-173.8118,-25.3366,-21.2604
